text,BIO_anno,class,bank_topic
我也是在0322网点申请的。半个月都是这样。当时我等了十几天就发到我单位了，效率还可以吧,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
拨打民生银行客服电话，他们就能和卡工作人员接通。,O O B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O,2,民生银行
有2700，我那张志愿者卡零额度呜呜呜,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,中国银行
哎，额度不理想，人家提了好几次了。?我这里水太少了?南宁，中午刚收到短信，耐心点,O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,中信银行
逾期了吗？处理了吗？我也有网捷贷，快要逾期了,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O,2,农业银行
调查审批，应该是查你的流水，你的首付是否合规，审阅你的资料是否合规，然后才到审批，看征信,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT,2,工商银行
50放3个月比较稳,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
新家居刷卡200元享受118元现金返还，详情请关注官网?,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
他这种现在很多银行都有，就是类似于平安的金童卡之类的，这种真正意义上不能算做什么信用卡，应该说是贷款，只是利息按天来收取...,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,民生银行
分期了吗？想想也没关系，可以得到,B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,2,建设银行
我逾期三个月，前几天一个国外手机号送我来我家,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O,2,交通银行
好上吗？是继续申卡还是提额？,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
答复来啊，看看账户是否异常。,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,招商银行
5月22日，,O O O O O O,2,招商银行
换什么，老铁。我坚持浦发的用了十年了,O O O O O O O O O O B-BANK I-BANK O O O O O O,2,
我首卡没面签，直接APP激活的,O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
无界数字，无界教师，无界医护，挨个推还可曲线，共用一个主账户，每隔3个月满推一次，推之前一周放几块砖...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
嗯，这个感觉建行系统好落后。其他银行好像是马上,O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,2,建设银行
哪些.基金是靠谱的，提交下,O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,
没有啊，没钱理财！,O O O O O O B-PRODUCT I-PRODUCT O,2,招商银行
我以为工行最低，确实是13%以上，招商银行上演的更好？,O O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
有长城卡银联单标，申请这个会不会下visa单标？,O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O,2,中国银行
1，原始不占用额度的账单分期。,O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O,2,民生银行
组队吗。我还没办，好想办,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
一般都是几天审核秒批秒拒的。,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O O,2,工商银行
不是说5年前的卡就不显示这个了吗？直接就显示销户吗,O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,中国银行
装修贷还需要现场察看的,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2,建设银行
你已经被盯上了，小心点,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
招行的你怎么协商分期的,B-BANK I-BANK O O O O O O B-PRODUCT I-PRODUCT O,2,招商银行
我都做好准备几千或者万把块额度了。。毕竟第一次申请四大行，结果挺意外的,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
玖富不是撤了征信么，可以看看,B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O O O O O,2,建设银行
下来了有挂了，放心吧,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
"可二,不可三",O O O O O O,2,民生银行
这不正常。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,民生银行
工行42k建行30k光大58k民生36k,B-BANK I-BANK O O O B-BANK I-BANK O O O B-BANK I-BANK O O O B-BANK I-BANK O O O,2,农业银行
香白免费吗……,B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,工商银行
6+6+6，到五万要慢慢熬到出推荐额度但要人工核查不一定提。,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2,农业银行
网点申u多，提出调平还回。多搜搜，少做伸手党。,O O O O B-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ O O O B-COMMENTS_ADJ O O O O O,2,工商银行
商家哦~~！才不管你呢，有的商家没积分都不说,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,2,
浦发标准白6W,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O,2,交通银行
不出意外，你肯定钱到账立马转走，一直这样，招行效率还可以,O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,
这难道不正常吗？欠钱不还，你有钱在自家银行还不能扣？,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
微信小程序试下，大概15～45天左右出结果（鄙人好像是56天）,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O,2,工商银行
多少幅度？,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,交通银行
老兄啥条件,O O O O O,2,工商银行
这个要插耳机孔。,O O O O O O O O,2,工商银行
我的怎么显示0.25费率，而且不管分多少期都一样费率，可惜只有69k,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
那还是放弃吧，不如去交房子首付好了,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,2,招商银行
你要借得出来才能调平，等借出来再说,O O O O O O O O O O O O O O O O O,2,工商银行
兄弟，有找到链接吗？分享一下,O O O O O O O O O O O O O O,2,交通银行
求哥哥帮忙。到了这个界面还会被拒绝吗？刷脸要等24小时。,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2,农业银行
同无储蓄卡的人告诉你要，基本上各大银行首卡都要,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O,2,建设银行
一般邮政派件就有提醒了，金卡上海发出，小白金珠海发出,O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,中信银行
我的10天了还没动静呢，兴业银行的,O O O O O O O O O O O O B-BANK I-BANK O O O,2,
我每笔交易只绑定了两个卡，也就是每天4000点，积分就有了啊,O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O,2,
现在又有了么?,O O O O O O O,2,建设银行
你写信到上海信访呀！我就是那个操作，铁定有效！写完没两天招行就主动给我打电话协商了！你自己联系的应该不是处理协商部门的，只是催收或者客服而已！...,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,招商银行
哥。结果如何，我也在等，心慌,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
这样算刷卡好多了,O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,民生银行
积分越来越不值钱了,B-PRODUCT I-PRODUCT O O O O O O O,2,中国银行
没实体卡,O O O O,2,工商银行
羡慕，从来没有提额过的人飘过,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,民生银行
楼主怎么拿到白金卡的？,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,
感觉线下都慢,O O O O O B-COMMENTS_ADJ,2,民生银行
12行，200多万固定额度？不太可能吧？！,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,民生银行
建行卡耐刷吗,B-BANK I-BANK O O O O,2,建设银行
等着被拒呗，还能咋办，招行首卡上门不知道？,O O O B-COMMENTS_ADJ O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O,2,招商银行
没什么要求??就是叫31号之前全额结清,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,
我不搞了就用这个了,O O O O O O O O O,2,工商银行
尊敬的客户，欢迎您成为工行的五星用户,O O O O O O O O O O O B-BANK I-BANK O O O O O,2,
"农行-25K,",B-BANK I-BANK O O O O O,2,中国银行
不进件基本没戏。更不要提额度的事,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,
不还清都不会给你走流程，所以必须还，没有侥幸,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
爱几把降就降，不敢用了，惹不起，还不如好好养招商,O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK,2,工商银行
解决了吗？有联系方式吗？我比你还惨,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ,0,招商银行
优惠这方面，小招一直不错的。以前搞“周三便利店五折”活动的时候经常趁周三去711便利店薅招行5折优惠（每...,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,招商银行
正常消费不撸鸡怎么提额,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N,2,招商银行
大哥，你的是三天准时解冻吗？,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,招商银行
是呀，开个理财金都大堂大妈明确告知要20万现金存款才能开，出门坐在车上就直接电话到总行投诉，直接就说大堂要求20万现金才能开，不是20万存款，必须现金，后面3小时左...,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,工商银行
你一定要去，因为我想提额,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,
我就不砖头推他了。,O O O O O O O O O,2,中国银行
狗眼看人低，换一家,O O O O B-COMMENTS_ADJ O O O O,2,工商银行
呆账五年哦,B-COMMENTS_N I-COMMENTS_N O O O,2,工商银行
分期额度2倍加信用卡额度，对其他银行有没有好处看你总授信和负债楼主要打下详版征信不???想知道你这个授信40万????已用额度是显示20万还是40万。...,B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,2,
这个无界卡有碰到坑吗，唉，我被坑死，后面申请实体卡才行,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,2,工商银行
我也被选中了。但是我的是0.6的还加三。一万就要63块钱。不划算,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,招商银行
在下萌新新办首卡,O O O O O O B-PRODUCT I-PRODUCT,2,招商银行
我信用卡才1.5k额度，融e,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,工商银行
刷6万还是可以的，必竞普通的要20万，浦发就是这样的,O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O,2,
有五险一金，可以消掉3万以下的，把一张卡养到10万+再以卡办卡，不要网申。招行就是这样的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O,2,
我的也是交通银行，上周5也是这样，这周一客户经理打我电话，和我说我信用卡平均6个月消费比家庭收入总和高，银行让我说明一下原因。和客户经理说了，又变审批了...,O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,交通银行
大哥，你弄这么多钱出来干啥？曲线吗？,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O,2,建设银行
首卡要先去网点验明正身，面签之后就有额度了,B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
销户多久算新户,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N,2,工商银行
开户就花，,B-COMMENTS_N I-COMMENTS_N O O O,2,
申请时候点完赞流程,O O O O O O B-COMMENTS_ADJ O O,1,建设银行
总额度多少了？,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
什么资质？申请的什么卡种，建行的龙卡,O O O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT,2,
兄弟你的额度信贷是只有固定额度还是有其他，我这只有这一个固定额度其他啥也没有，这样是不是黑了啊,O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,2,招商银行
浦发°195K【21/06/05^6T】毕业,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O,2,招商银行
显示录入，就有希望,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
不是，就是信用卡已用额度那一栏，分期的也会一起显示,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O O O O O O O,2,工商银行
无聊。中行积分现在没用了?月限额3万元,O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O,2,中国银行
第一次申请民生银行信用卡，还是选一个金卡，稳妥点,O O O O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,民生银行
账单日不是还款日吗？？,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O,2,招商银行
只能等。。。距上次提额多久了？,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
这个怎么买，我也想买，我的基金亏了,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ O,2,
一张够了，多了也没用吧,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,中国银行
请问如何才能把这20万变成信用卡额度呢,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O,2,工商银行
1717年3月。开心不,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
百夫长有没最低标准额度,B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N,2,民生银行
多活，勤搬砖，快提量！,O O O O O O O B-COMMENTS_ADJ O O O,2,建设银行
你这样子刷没鸟用。,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
目标额度30W,O O B-COMMENTS_N I-COMMENTS_N O O O,2,民生银行
812可以都有分我这有,O O O O O O O O O O O,2,民生银行
老哥优质啊,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,民生银行
我去年9月份网申平安携程卡、卡员申广发犀利卡，均秒批。,O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,民生银行
开心，祝各位卡友早日,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,中信银行
大妈行不光普提还能曲线了吗？,O O O O O O O O O O O O O O,2,工商银行
小伙子，牛皮不是吹的，看你说话的语气年龄也大不到哪去。我不才，08年才开始玩信用卡。我玩泥巴那会是8...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O,2,工商银行
我只知道可以交，但是好像很麻烦,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
你激活的是认真的。微信微信官方账号必须有3次激活。,O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O,2,中国银行
最好同地区，等一卡降额度以后激活二卡就可以了，好多卡友有发过！,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,2,工商银行
在移动app里，但是点开后会跳转打开应用首页,O O O O O O O O O O O O O O O O O O O O O O,2,中国银行
还是觉得银监会猛，投诉过一次过半小时银行乖乖的打电话过来了。,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O,2,民生银行
花呗没啥意思，只能提前投资消费。,B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O,2,招商银行
中信的起点是3.5w，一个募集4.3w，一个募集7.3w,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O,2,中信银行
我也不开了麻烦,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
试，试完了再告诉我们，,O O O O O O O O O O O,2,
薅你人头还不给办卡，太不地道了，不过貌似网申借记卡还有活动吧，信用卡估计是没活动了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O,2,
过了吗？要上门吗？,O O O O O O O O O,2,招商银行
我发觉苹果的工银APP会显示提额两字，安桌的没有这两字,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2,工商银行
楼主招商钻石下卡2个账单消费额度百分之60??用卡良好养的,O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
航空是联名卡不知道有没有56天！悠然白，精粹白，典藏白，这些标准高端卡就有56天！,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2,农业银行
保护费的意思难道不是不降额就平安喜乐了，还提？,O O O O O O O O O O O B-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,中信银行
一般申请的时候不能直接申请。和你一样，,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,2,农业银行
对卡员,O O O,2,民生银行
制卡成功手机app进度是显示什么,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,2,工商银行
如果真实消费，刷光呢？不是一笔过，是N多笔,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,2,中信银行
是贷后吧，贷后影响大吗,O O O O O O O O O B-COMMENTS_ADJ O,2,中国银行
过没过说一声，我好有个准备，办个浦发的,O O O O O O O O O O O O O O O O B-BANK I-BANK O,2,
但是我的社保在农行~,O O O O O O O B-BANK I-BANK O,2,农业银行
结果如何了呢?太难了,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,
钻石卡我点了名字和身份证出来了，提交上去3600就不见了！,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O,2,招商银行
群发的吗？这个人头送不送？,O O O O O O O O O O O O O,2,中信银行
大神求助求助，着急的很,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
没有U盾啊，盾有什么用,O O B-PRODUCT I-PRODUCT O O O O O O O,2,
比这个好多了,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
